State_Fips,County_Fips,State,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019
18,77,Indiana,Jefferson County,32395,32272,32436,32390,32402,32297,32230,32013,32157,32308
18,79,Indiana,Jennings County,28481,28155,28145,28227,27916,27834,27648,27652,27679,27735
18,81,Indiana,Johnson County,140269,141734,143475,145410,147085,148962,151540,153820,156093,158167
18,83,Indiana,Knox County,38391,38473,37974,38055,37961,37760,37333,37044,36596,36594
18,85,Indiana,Kosciusko County,77340,77353,77603,77865,78371,78547,78732,79026,79416,79456
18,87,Indiana,LaGrange County,37159,37469,37662,38089,38435,38616,39113,39248,39375,39614
18,89,Indiana,Lake County,495947,494954,493390,491732,491027,487908,486092,484601,484440,485493
18,91,Indiana,LaPorte County,111459,111317,111304,111423,111735,110835,110222,109842,109981,109888
18,93,Indiana,Lawrence County,46102,46141,46116,45896,45651,45568,45578,45592,45630,45370
18,95,Indiana,Madison County,131619,131002,130197,130303,129736,129388,129329,129418,129573,129569
18,97,Indiana,Marion County,904591,911217,919786,929922,935935,939843,945685,950537,958700,964582
18,99,Indiana,Marshall County,47000,46938,46942,46910,46920,46733,46586,46433,46296,46258
18,101,Indiana,Martin County,10359,10336,10317,10233,10238,10216,10190,10181,10219,10255
18,103,Indiana,Miami County,36810,36649,36529,36167,36070,36004,36043,35864,35646,35516
18,105,Indiana,Monroe County,138566,140233,141484,142068,143403,144247,145757,146638,147230,148431
18,107,Indiana,Montgomery County,38098,38338,38177,38137,38150,38243,38238,38343,38274,38338
18,109,Indiana,Morgan County,69138,69233,69177,69344,69495,69559,69633,69793,70137,70489
18,111,Indiana,Newton County,14233,14086,14043,14028,14087,13971,13992,14027,13986,13984
18,113,Indiana,Noble County,47454,47294,47190,47240,47367,47515,47398,47329,47543,47744
18,115,Indiana,Ohio County,6086,6052,6055,5986,5957,5877,5885,5854,5879,5875
18,117,Indiana,Orange County,19814,19945,19747,19835,19771,19634,19473,19423,19548,19646
18,119,Indiana,Owen County,21566,21489,21368,21153,21019,20826,20898,20791,20862,20799
18,121,Indiana,Parke County,17275,17084,17118,17237,17236,16970,16938,16907,16978,16937
18,123,Indiana,Perry County,19409,19423,19371,19417,19334,19310,18978,18978,19077,19169
18,125,Indiana,Pike County,12720,12596,12618,12495,12490,12407,12391,12315,12388,12389
18,127,Indiana,Porter County,164487,165511,165702,166478,167166,167334,167475,168495,169488,170389
18,129,Indiana,Posey County,25861,25695,25616,25561,25603,25613,25639,25569,25554,25427
18,131,Indiana,Pulaski County,13323,13229,13009,12939,12916,12804,12618,12529,12492,12353
18,133,Indiana,Putnam County,37909,37867,37640,37494,37451,37382,37113,37363,37486,37576
18,135,Indiana,Randolph County,26178,26033,25857,25617,25331,25138,25112,24907,24806,24665
18,137,Indiana,Ripley County,28815,28645,28447,28296,28340,28372,28381,28428,28450,28324
18,139,Indiana,Rush County,17384,17285,17108,16996,16845,16708,16639,16643,16635,16581
18,141,Indiana,St. Joseph County,266797,266680,266492,267054,267848,268361,269862,270057,270972,271826
18,143,Indiana,Scott County,24171,23907,23723,23755,23636,23660,23687,23793,23784,23873
18,145,Indiana,Shelby County,44297,44280,44257,44333,44358,44341,44229,44367,44522,44729
18,147,Indiana,Spencer County,20915,20969,20783,20762,20762,20640,20491,20440,20385,20277
18,149,Indiana,Starke County,23345,23171,23160,23139,22956,22860,23019,22935,22951,22995
18,151,Indiana,Steuben County,34109,34068,34158,34371,34491,34469,34329,34384,34487,34594
18,153,Indiana,Sullivan County,21390,21218,21203,21138,20995,20874,20710,20700,20696,20669
18,155,Indiana,Switzerland County,10717,10632,10462,10598,10564,10614,10641,10686,10731,10751
18,157,Indiana,Tippecanoe County,173104,175861,179124,181953,184433,186723,190292,191199,193817,195732
18,159,Indiana,Tipton County,15878,15816,15659,15544,15405,15249,15163,15137,15112,15148
18,161,Indiana,Union County,7537,7496,7352,7307,7241,7185,7139,7159,7029,7054
18,163,Indiana,Vanderburgh County,179842,180468,181040,181580,181934,181504,181427,180954,181120,181451
18,165,Indiana,Vermillion County,16116,16072,15923,15852,15659,15593,15593,15503,15510,15498
18,167,Indiana,Vigo County,107888,108330,108523,108200,107920,107533,107790,107569,107367,107038
18,169,Indiana,Wabash County,32848,32567,32386,32269,32100,31860,31513,31380,31198,30996
18,171,Indiana,Warren County,8521,8470,8392,8369,8339,8270,8165,8204,8280,8265
18,173,Indiana,Warrick County,59839,60201,60347,60852,60956,61522,62005,62401,62474,62998
18,175,Indiana,Washington County,28292,28196,27913,27779,27886,27774,27728,27771,27932,28036
18,177,Indiana,Wayne County,68889,68636,68224,67785,67378,66972,66630,66179,66046,65884
18,179,Indiana,Wells County,27682,27738,27707,27715,27814,27851,27865,27958,28083,28296
18,181,Indiana,White County,24683,24592,24466,24401,24433,24274,24074,24163,24133,24102
18,183,Indiana,Whitley County,33353,33358,33335,33283,33444,33444,33475,33722,34047,33964
19,0,Iowa,Iowa,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
19,1,Iowa,Adair County,7679,7546,7468,7387,7368,7145,7005,7051,7074,7152
19,3,Iowa,Adams County,4023,3994,3910,3891,3877,3754,3692,3657,3644,3602
