State_Fips,County_Fips,State,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019
1,0,Alabama,Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
1,1,Alabama,Autauga County,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
1,3,Alabama,Baldwin County,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
1,5,Alabama,Barbour County,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
1,7,Alabama,Bibb County,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
1,9,Alabama,Blount County,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
1,11,Alabama,Bullock County,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
1,13,Alabama,Butler County,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
1,15,Alabama,Calhoun County,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
1,17,Alabama,Chambers County,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
1,19,Alabama,Cherokee County,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
1,21,Alabama,Chilton County,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
1,23,Alabama,Choctaw County,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
1,25,Alabama,Clarke County,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
1,27,Alabama,Clay County,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
1,29,Alabama,Cleburne County,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
1,31,Alabama,Coffee County,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
1,33,Alabama,Colbert County,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
